experiment,id,condition,trial,agent,correct
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,different_speaker,1,Tiger,1
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,same_speaker,2,Monkey,1
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,different_speaker,3,Dog,0
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,same_speaker,4,Bunny,1
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,same_speaker,5,Cat,1
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,different_speaker,6,Sheep,0
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,different_speaker,1,Sheep,0
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,same_speaker,2,Monkey,1
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,same_speaker,3,Dog,1
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,different_speaker,4,Bear,1
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,same_speaker,5,Cat,1
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,different_speaker,6,Tiger,0
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,same_speaker,1,Mouse,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,different_speaker,2,Tiger,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,different_speaker,3,Cat,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,same_speaker,4,Bear,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,same_speaker,5,Dog,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,different_speaker,6,Sheep,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,different_speaker,1,Cat,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,same_speaker,2,Monkey,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,different_speaker,3,Bear,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,same_speaker,4,Dog,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,same_speaker,5,Mouse,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,different_speaker,6,Sheep,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,same_speaker,1,Mouse,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,different_speaker,2,Tiger,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,different_speaker,3,Frog,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,same_speaker,4,Bear,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,same_speaker,5,Sheep,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,different_speaker,6,Cat,0
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,different_speaker,1,Bear,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,same_speaker,2,Frog,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,same_speaker,3,Monkey,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,different_speaker,4,Sheep,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,different_speaker,5,Cat,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,same_speaker,6,Dog,0
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,same_speaker,1,Bunny,1
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,different_speaker,2,Tiger,0
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,different_speaker,3,Bear,1
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,same_speaker,4,Frog,1
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,same_speaker,5,Mouse,1
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,different_speaker,6,Dog,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,different_speaker,1,Sheep,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,same_speaker,2,Bunny,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,different_speaker,3,Monkey,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,same_speaker,4,Dog,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,different_speaker,5,Cat,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,same_speaker,6,Tiger,1
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,same_speaker,1,Frog,1
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,different_speaker,2,Cat,0
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,same_speaker,3,Bear,1
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,different_speaker,4,Bunny,0
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,different_speaker,5,Sheep,0
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,same_speaker,6,Dog,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,same_speaker,1,Frog,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,different_speaker,2,Sheep,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,same_speaker,3,Monkey,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,different_speaker,4,Bunny,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,same_speaker,5,Bear,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,different_speaker,6,Cat,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,same_speaker,1,Mouse,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,different_speaker,2,Sheep,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,different_speaker,3,Tiger,0
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,same_speaker,4,Dog,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,same_speaker,5,Monkey,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,different_speaker,6,Cat,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,different_speaker,1,Sheep,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,same_speaker,2,Monkey,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,different_speaker,3,Tiger,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,same_speaker,4,Mouse,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,different_speaker,5,Cat,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,same_speaker,6,Bear,1
adult_ex2_preference,7254116d8279332590b0791251565760,same_speaker,1,Bunny,1
adult_ex2_preference,7254116d8279332590b0791251565760,different_speaker,2,Cat,1
adult_ex2_preference,7254116d8279332590b0791251565760,same_speaker,3,Monkey,1
adult_ex2_preference,7254116d8279332590b0791251565760,different_speaker,4,Sheep,0
adult_ex2_preference,7254116d8279332590b0791251565760,same_speaker,5,Mouse,1
adult_ex2_preference,7254116d8279332590b0791251565760,different_speaker,6,Bear,1
adult_ex2_preference,72af32bf19955ae20ec87d515ae3e741,same_speaker,1,Mouse,1
adult_ex2_preference,72af32bf19955ae20ec87d515ae3e741,different_speaker,2,Sheep,0
adult_ex2_preference,72af32bf19955ae20ec87d515ae3e741,different_speaker,3,Tiger,1
adult_ex2_preference,72af32bf19955ae20ec87d515ae3e741,same_speaker,4,Bear,1
adult_ex2_preference,72af32bf19955ae20ec87d515ae3e741,same_speaker,5,Monkey,1
adult_ex2_preference,72af32bf19955ae20ec87d515ae3e741,different_speaker,6,Cat,1
adult_ex2_preference,79f9f7438913f02e773240054e80dcd0,same_speaker,1,Monkey,1
adult_ex2_preference,79f9f7438913f02e773240054e80dcd0,different_speaker,2,Cat,1
adult_ex2_preference,79f9f7438913f02e773240054e80dcd0,different_speaker,3,Sheep,0
adult_ex2_preference,79f9f7438913f02e773240054e80dcd0,same_speaker,4,Bear,1
adult_ex2_preference,79f9f7438913f02e773240054e80dcd0,different_speaker,5,Bunny,0
adult_ex2_preference,79f9f7438913f02e773240054e80dcd0,same_speaker,6,Mouse,1
adult_ex2_preference,8033458fbce729bf9ddc3fe53df7e225,same_speaker,1,Frog,1
adult_ex2_preference,8033458fbce729bf9ddc3fe53df7e225,different_speaker,2,Monkey,1
adult_ex2_preference,8033458fbce729bf9ddc3fe53df7e225,same_speaker,3,Mouse,1
adult_ex2_preference,8033458fbce729bf9ddc3fe53df7e225,different_speaker,4,Tiger,0
adult_ex2_preference,8033458fbce729bf9ddc3fe53df7e225,different_speaker,5,Sheep,0
adult_ex2_preference,8033458fbce729bf9ddc3fe53df7e225,same_speaker,6,Dog,1
adult_ex2_preference,91edae0709bee23cebd9286f5ae72a8f,same_speaker,1,Bunny,1
adult_ex2_preference,91edae0709bee23cebd9286f5ae72a8f,different_speaker,2,Sheep,1
adult_ex2_preference,91edae0709bee23cebd9286f5ae72a8f,different_speaker,3,Cat,1
adult_ex2_preference,91edae0709bee23cebd9286f5ae72a8f,same_speaker,4,Tiger,1
adult_ex2_preference,91edae0709bee23cebd9286f5ae72a8f,different_speaker,5,Dog,0
adult_ex2_preference,91edae0709bee23cebd9286f5ae72a8f,same_speaker,6,Bear,1
adult_ex2_preference,92cc6ab3d5ed47617782b0987243067a,different_speaker,1,Sheep,1
adult_ex2_preference,92cc6ab3d5ed47617782b0987243067a,same_speaker,2,Mouse,1
adult_ex2_preference,92cc6ab3d5ed47617782b0987243067a,different_speaker,3,Cat,1
adult_ex2_preference,92cc6ab3d5ed47617782b0987243067a,same_speaker,4,Monkey,1
adult_ex2_preference,92cc6ab3d5ed47617782b0987243067a,different_speaker,5,Tiger,0
adult_ex2_preference,92cc6ab3d5ed47617782b0987243067a,same_speaker,6,Bear,0
adult_ex2_preference,9970f001a8b8839bddd31933e743e230,same_speaker,1,Mouse,1
adult_ex2_preference,9970f001a8b8839bddd31933e743e230,different_speaker,2,Cat,0
adult_ex2_preference,9970f001a8b8839bddd31933e743e230,different_speaker,3,Sheep,0
adult_ex2_preference,9970f001a8b8839bddd31933e743e230,same_speaker,4,Monkey,1
adult_ex2_preference,9970f001a8b8839bddd31933e743e230,different_speaker,5,Bear,0
adult_ex2_preference,9970f001a8b8839bddd31933e743e230,same_speaker,6,Tiger,1
adult_ex2_preference,9d09716532ac9a990bfc8ca12da64e30,different_speaker,1,Sheep,0
adult_ex2_preference,9d09716532ac9a990bfc8ca12da64e30,same_speaker,2,Mouse,1
adult_ex2_preference,9d09716532ac9a990bfc8ca12da64e30,different_speaker,3,Bear,1
adult_ex2_preference,9d09716532ac9a990bfc8ca12da64e30,same_speaker,4,Monkey,1
adult_ex2_preference,9d09716532ac9a990bfc8ca12da64e30,same_speaker,5,Dog,1
adult_ex2_preference,9d09716532ac9a990bfc8ca12da64e30,different_speaker,6,Cat,1
adult_ex2_preference,a1206acff741f69b17e53f7993f60944,different_speaker,1,Cat,1
adult_ex2_preference,a1206acff741f69b17e53f7993f60944,same_speaker,2,Bunny,0
adult_ex2_preference,a1206acff741f69b17e53f7993f60944,same_speaker,3,Frog,1
adult_ex2_preference,a1206acff741f69b17e53f7993f60944,different_speaker,4,Sheep,1
adult_ex2_preference,a1206acff741f69b17e53f7993f60944,different_speaker,5,Dog,1
adult_ex2_preference,a1206acff741f69b17e53f7993f60944,same_speaker,6,Mouse,1
adult_ex2_preference,a58ab0a1c1563560e721df4cc9248b33,same_speaker,1,Frog,1
adult_ex2_preference,a58ab0a1c1563560e721df4cc9248b33,different_speaker,2,Cat,1
adult_ex2_preference,a58ab0a1c1563560e721df4cc9248b33,different_speaker,3,Bunny,1
adult_ex2_preference,a58ab0a1c1563560e721df4cc9248b33,same_speaker,4,Mouse,1
adult_ex2_preference,a58ab0a1c1563560e721df4cc9248b33,same_speaker,5,Bear,1
adult_ex2_preference,a58ab0a1c1563560e721df4cc9248b33,different_speaker,6,Sheep,1
adult_ex2_preference,a989ed31ed390edfe1fdb0a3b3d44e07,same_speaker,1,Mouse,1
adult_ex2_preference,a989ed31ed390edfe1fdb0a3b3d44e07,different_speaker,2,Sheep,1
adult_ex2_preference,a989ed31ed390edfe1fdb0a3b3d44e07,same_speaker,3,Monkey,1
adult_ex2_preference,a989ed31ed390edfe1fdb0a3b3d44e07,different_speaker,4,Cat,1
adult_ex2_preference,a989ed31ed390edfe1fdb0a3b3d44e07,different_speaker,5,Tiger,0
adult_ex2_preference,a989ed31ed390edfe1fdb0a3b3d44e07,same_speaker,6,Bear,1
adult_ex2_preference,aa4704bdfc2dcd94085eb0fba20ef49e,different_speaker,1,Sheep,1
adult_ex2_preference,aa4704bdfc2dcd94085eb0fba20ef49e,same_speaker,2,Bear,1
adult_ex2_preference,aa4704bdfc2dcd94085eb0fba20ef49e,same_speaker,3,Bunny,1
adult_ex2_preference,aa4704bdfc2dcd94085eb0fba20ef49e,different_speaker,4,Tiger,1
adult_ex2_preference,aa4704bdfc2dcd94085eb0fba20ef49e,same_speaker,5,Dog,1
adult_ex2_preference,aa4704bdfc2dcd94085eb0fba20ef49e,different_speaker,6,Cat,1
adult_ex2_preference,aaa40a1213a6049c9881c01510e84ec3,same_speaker,1,Tiger,1
adult_ex2_preference,aaa40a1213a6049c9881c01510e84ec3,different_speaker,2,Dog,0
adult_ex2_preference,aaa40a1213a6049c9881c01510e84ec3,same_speaker,3,Monkey,1
adult_ex2_preference,aaa40a1213a6049c9881c01510e84ec3,different_speaker,4,Frog,0
adult_ex2_preference,aaa40a1213a6049c9881c01510e84ec3,different_speaker,5,Cat,1
adult_ex2_preference,aaa40a1213a6049c9881c01510e84ec3,same_speaker,6,Bear,1
adult_ex2_preference,b3392aeb803ce0024e4eb3a7bc0f796a,different_speaker,1,Dog,1
adult_ex2_preference,b3392aeb803ce0024e4eb3a7bc0f796a,same_speaker,2,Tiger,1
adult_ex2_preference,b3392aeb803ce0024e4eb3a7bc0f796a,different_speaker,3,Cat,1
adult_ex2_preference,b3392aeb803ce0024e4eb3a7bc0f796a,same_speaker,4,Bunny,1
adult_ex2_preference,b3392aeb803ce0024e4eb3a7bc0f796a,same_speaker,5,Monkey,1
adult_ex2_preference,b3392aeb803ce0024e4eb3a7bc0f796a,different_speaker,6,Sheep,1
adult_ex2_preference,b9206267e766f9c97f1d5e46fc3794ae,same_speaker,1,Frog,1
adult_ex2_preference,b9206267e766f9c97f1d5e46fc3794ae,different_speaker,2,Cat,0
adult_ex2_preference,b9206267e766f9c97f1d5e46fc3794ae,different_speaker,3,Sheep,1
adult_ex2_preference,b9206267e766f9c97f1d5e46fc3794ae,same_speaker,4,Dog,1
adult_ex2_preference,b9206267e766f9c97f1d5e46fc3794ae,different_speaker,5,Tiger,1
adult_ex2_preference,b9206267e766f9c97f1d5e46fc3794ae,same_speaker,6,Bear,1
adult_ex2_preference,c27d095d24a7be1b0e14e162791d3dfc,different_speaker,1,Dog,1
adult_ex2_preference,c27d095d24a7be1b0e14e162791d3dfc,same_speaker,2,Tiger,1
adult_ex2_preference,c27d095d24a7be1b0e14e162791d3dfc,different_speaker,3,Bear,0
adult_ex2_preference,c27d095d24a7be1b0e14e162791d3dfc,same_speaker,4,Frog,1
adult_ex2_preference,c27d095d24a7be1b0e14e162791d3dfc,same_speaker,5,Bunny,0
adult_ex2_preference,c27d095d24a7be1b0e14e162791d3dfc,different_speaker,6,Sheep,0
adult_ex2_preference,c5b2b5af58b390776f3a78fb5161903a,different_speaker,1,Cat,1
adult_ex2_preference,c5b2b5af58b390776f3a78fb5161903a,same_speaker,2,Bunny,1
adult_ex2_preference,c5b2b5af58b390776f3a78fb5161903a,same_speaker,3,Frog,1
adult_ex2_preference,c5b2b5af58b390776f3a78fb5161903a,different_speaker,4,Bear,1
adult_ex2_preference,c5b2b5af58b390776f3a78fb5161903a,different_speaker,5,Tiger,1
adult_ex2_preference,c5b2b5af58b390776f3a78fb5161903a,same_speaker,6,Sheep,1
adult_ex2_preference,c7281ab5b3368571782dcf777d15d9e8,different_speaker,1,Tiger,1
adult_ex2_preference,c7281ab5b3368571782dcf777d15d9e8,same_speaker,2,Frog,1
adult_ex2_preference,c7281ab5b3368571782dcf777d15d9e8,same_speaker,3,Monkey,1
adult_ex2_preference,c7281ab5b3368571782dcf777d15d9e8,different_speaker,4,Bear,0
adult_ex2_preference,c7281ab5b3368571782dcf777d15d9e8,different_speaker,5,Cat,0
adult_ex2_preference,c7281ab5b3368571782dcf777d15d9e8,same_speaker,6,Bunny,1
adult_ex2_preference,c7ad1d3f1a799139fb343262cb9012e4,different_speaker,1,Bear,1
adult_ex2_preference,c7ad1d3f1a799139fb343262cb9012e4,same_speaker,2,Monkey,1
adult_ex2_preference,c7ad1d3f1a799139fb343262cb9012e4,different_speaker,3,Cat,0
adult_ex2_preference,c7ad1d3f1a799139fb343262cb9012e4,same_speaker,4,Dog,1
adult_ex2_preference,c7ad1d3f1a799139fb343262cb9012e4,same_speaker,5,Bunny,1
adult_ex2_preference,c7ad1d3f1a799139fb343262cb9012e4,different_speaker,6,Sheep,0
adult_ex2_preference,cfedf25a3dbaf24e25a035ef0b0ec380,same_speaker,1,Bunny,1
adult_ex2_preference,cfedf25a3dbaf24e25a035ef0b0ec380,different_speaker,2,Cat,0
adult_ex2_preference,cfedf25a3dbaf24e25a035ef0b0ec380,different_speaker,3,Tiger,0
adult_ex2_preference,cfedf25a3dbaf24e25a035ef0b0ec380,same_speaker,4,Dog,1
adult_ex2_preference,cfedf25a3dbaf24e25a035ef0b0ec380,same_speaker,5,Bear,1
adult_ex2_preference,cfedf25a3dbaf24e25a035ef0b0ec380,different_speaker,6,Sheep,0
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,same_speaker,1,Bunny,1
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,different_speaker,2,Tiger,1
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,same_speaker,3,Dog,1
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,different_speaker,4,Cat,1
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,different_speaker,5,Sheep,0
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,same_speaker,6,Bear,1
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,same_speaker,1,Mouse,1
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,different_speaker,2,Cat,0
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,same_speaker,3,Bunny,1
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,different_speaker,4,Sheep,0
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,different_speaker,5,Tiger,1
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,same_speaker,6,Bear,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,different_speaker,1,Cat,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,same_speaker,2,Frog,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,same_speaker,3,Monkey,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,different_speaker,4,Sheep,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,same_speaker,5,Tiger,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,different_speaker,6,Bear,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,different_speaker,1,Dog,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,same_speaker,2,Bear,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,same_speaker,3,Frog,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,different_speaker,4,Mouse,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,same_speaker,5,Cat,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,different_speaker,6,Sheep,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,same_speaker,1,Dog,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,different_speaker,2,Tiger,0
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,different_speaker,3,Cat,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,same_speaker,4,Monkey,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,different_speaker,5,Sheep,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,same_speaker,6,Bear,1
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,same_speaker,1,Bunny,1
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,different_speaker,2,Sheep,0
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,same_speaker,3,Mouse,1
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,different_speaker,4,Tiger,0
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,different_speaker,5,Cat,0
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,same_speaker,6,Dog,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,different_speaker,1,Sheep,0
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,same_speaker,2,Monkey,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,same_speaker,3,Mouse,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,different_speaker,4,Bear,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,different_speaker,5,Cat,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,same_speaker,6,Dog,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,same_speaker,1,Mouse,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,different_speaker,2,Sheep,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,same_speaker,3,Monkey,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,different_speaker,4,Frog,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,same_speaker,5,Tiger,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,different_speaker,6,Cat,1
